Head Reachable,Food Reachable,Plan Length,Comfort,Utensil,Food x,Food y,Food z,Food qx,Food qy,Food qz,Food qw,Head x,Head y,Head z,Head qx,Head qy,Head qz,Head qw
True,True,3.894671604266138,,new,0.5410885061964363,0.453957342752774,0.2004097352393619,0.0,1.0,0.0,6.123233995736766e-17,-0.2690216515428321,0.5787780334453568,0.6247590102670499,0.5430669152306155,-0.452976829316255,-0.4239041901736813,0.565858246593342
True,True,7.891604879824803,1.8873454034141848,new,0.5939810717600817,0.5825511154555443,0.2060663577576718,0.0,1.0,0.0,6.123233995736766e-17,-0.2842569561974222,0.5305275217915582,0.6161855642504578,-0.4541500907449406,0.5419928262883251,0.5370532282712132,-0.4599622825100163
True,True,5.669878196973,2.136028588071678,new,0.5688489682951996,0.5087249982930846,0.2093507242378776,0.0,1.0,0.0,6.123233995736766e-17,-0.2828308999221897,0.5411756419469899,0.6449540050339144,0.5055791123436004,-0.4943305941632199,-0.4886856133582626,0.5110903991788089
True,True,7.552317669021685,3.1110555194496308,new,0.3508215500510444,0.5714808553175139,0.2003358557530546,0.0,1.0,0.0,6.123233995736766e-17,-0.2788863114218133,0.5161274884062853,0.6297225240109152,-0.446420730164462,0.5483949614327521,0.5648731670481009,-0.4253114189669111
True,True,4.938306043150106,,new,0.5688966339289833,0.4351311241205118,0.2086317892234988,0.0,1.0,0.0,6.123233995736766e-17,-0.2836723619560994,0.5351413751188515,0.6186621435480713,-0.4751439551527801,0.5236776102532428,0.5207737117882201,-0.4783249141656175
True,True,7.32499812426498,3.425982050896894,new,0.4399135671612154,0.4845374442395317,0.2002831967114546,0.0,1.0,0.0,6.123233995736766e-17,-0.2870108134517483,0.528093854823674,0.6129248569572058,-0.4573545052793852,0.5392830113057588,0.5264088900103164,-0.4721169036750836
True,True,6.383616221770102,1.7646688741028165,new,0.3872849829498692,0.5341248829387261,0.2064718951157425,0.0,1.0,0.0,6.123233995736766e-17,-0.2827493776758886,0.5409595501310305,0.6437544843612494,0.50347254041805,-0.4965160370452718,-0.4889920575264074,0.5107582536562129
True,True,3.788038630787211,,new,0.465103266278565,0.5994419871578422,0.2098083533877623,0.0,1.0,0.0,6.123233995736766e-17,-0.2806454693754291,0.5504156526619198,0.6285001400421149,0.524931139082514,-0.4737634051800209,-0.4812735469637165,0.5180456622024059
True,True,4.64043872784431,3.993217515524217,new,0.5556625953442085,0.5300918552535633,0.2068844673057094,0.0,1.0,0.0,6.123233995736766e-17,-0.280140681700307,0.4986716531061932,0.6286515995904604,-0.3896318393164807,0.5901206070960432,0.6091840134639849,-0.3589422469024299
True,True,7.167425420893093,6.915990315323296,new,0.3905289515067233,0.5442976680388163,0.2052535432247572,0.0,1.0,0.0,6.123233995736766e-17,-0.2842826935236134,0.5342052901293852,0.6152797419647492,-0.4611912804893427,0.5359831421883261,0.5106273686302423,-0.4891670108421907
True,True,3.837314444499364,,new,0.4430725626676867,0.4971670717663578,0.20889487834349,0.0,1.0,0.0,6.123233995736766e-17,-0.2690216515428321,0.5787780334453568,0.6247590102670499,0.5430669152306155,-0.452976829316255,-0.4239041901736813,0.565858246593342
True,True,8.797549524455347,6.4188453375861405,new,0.4573385590127211,0.5143059661459521,0.2032186939107594,0.0,1.0,0.0,6.123233995736766e-17,-0.2764908480153172,0.5165954960018626,0.6238015268593549,-0.4216076177842954,0.5676707477100617,0.5606423956017594,-0.4309025911670422
True,True,4.4872042762417275,1.9300936257009784,new,0.5282900090599091,0.4675822451014266,0.2039161900052816,0.0,1.0,0.0,6.123233995736766e-17,-0.2858825017059039,0.5364538542357323,0.6013332688472584,0.4630650941250617,-0.5341069354572745,-0.4946918361821248,0.5055496882742037
True,True,12.113832966538247,,new,0.4181472780600139,0.5246374289372084,0.2008401534358238,0.0,1.0,0.0,6.123233995736766e-17,-0.280149399491777,0.5128438782406115,0.6215695792322473,-0.4027203430448966,0.5812202311075972,0.5740222050750298,-0.4129138848838009
True,True,10.312756604052796,,new,0.5997932442960193,0.5574196614977367,0.2023936944299295,0.0,1.0,0.0,6.123233995736766e-17,-0.282965593561769,0.5146100433375815,0.622588225604066,-0.448544724233598,0.5466565829838876,0.5809566676942619,-0.4030676877450792
True,True,8.240074304850603,,new,0.3675704104415583,0.4672234121091321,0.2015027946689484,0.0,1.0,0.0,6.123233995736766e-17,-0.2800013067742738,0.5348869337022203,0.6203366376306654,-0.454254675737911,0.5419117689979699,0.5034132647973575,-0.4965474891868871
True,True,7.323213802394195,,new,0.4851018099947861,0.5592648540574588,0.2023064220899375,0.0,1.0,0.0,6.123233995736766e-17,-0.2844767804862422,0.5314546678323068,0.6139253480399305,-0.4649526959326454,0.5327392894737449,0.5214474256660494,-0.477598599518701
True,True,3.8865758856083383,,new,0.4713655519464584,0.4397026089018511,0.2009075304561912,0.0,1.0,0.0,6.123233995736766e-17,-0.2699149374355536,0.5724562818444399,0.6273774168521633,0.5340315932656131,-0.4636564539793722,-0.4318543912698431,0.5597631059818241
True,True,5.667760750394509,,new,0.5240997157960552,0.4597392265637845,0.2067199487795636,0.0,1.0,0.0,6.123233995736766e-17,-0.2790266127066731,0.5116525363578297,0.6228815233155873,-0.4069461871330093,0.5782689297560116,0.5763308148178717,-0.4096860231300437
True,True,6.512866140919153,2.9187363816895626,new,0.6326339331519494,0.4730220336489657,0.2010549527957023,0.0,1.0,0.0,6.123233995736766e-17,-0.2761981296576368,0.5131303195888249,0.6217432522617511,-0.4224353512457806,0.5670532513077093,0.5618788905096669,-0.4292913889176392
True,True,5.446410693956457,2.5201062951139277,new,0.5387324454619128,0.5854309106135734,0.2044037715471578,0.0,1.0,0.0,6.123233995736766e-17,-0.2732603926438151,0.5267218044701253,0.6243153324070969,-0.386312844829967,0.5924765352828658,0.5334673417228631,-0.4638389120952778
True,True,3.4634328480899006,,new,0.5410885061964363,0.453957342752774,0.2004097352393619,0.0,1.0,0.0,6.123233995736766e-17,-0.2690216515428321,0.5787780334453568,0.6247590102670499,0.5430669152306155,-0.452976829316255,-0.4239041901736813,0.565858246593342
True,True,8.004375576515676,6.239245284057781,new,0.5939810717600817,0.5825511154555443,0.2060663577576718,0.0,1.0,0.0,6.123233995736766e-17,-0.2842569561974222,0.5305275217915582,0.6161855642504578,-0.4541500907449406,0.5419928262883251,0.5370532282712132,-0.4599622825100163
True,True,5.799808529683672,2.193505752797543,new,0.5688489682951996,0.5087249982930846,0.2093507242378776,0.0,1.0,0.0,6.123233995736766e-17,-0.2828308999221897,0.5411756419469899,0.6449540050339144,0.5055791123436004,-0.4943305941632199,-0.4886856133582626,0.5110903991788089
True,True,3.5570547532569186,,new,0.5410885061964363,0.453957342752774,0.2004097352393619,0.0,1.0,0.0,6.123233995736766e-17,-0.2690216515428321,0.5787780334453568,0.6247590102670499,0.5430669152306155,-0.452976829316255,-0.4239041901736813,0.565858246593342
False,False,,,flair,0.5410885061964363,0.453957342752774,0.2004097352393619,0.0,1.0,0.0,6.123233995736766e-17,-0.2690216515428321,0.5787780334453568,0.6247590102670499,0.5430669152306155,-0.452976829316255,-0.4239041901736813,0.565858246593342
True,False,,,flair,0.5939810717600817,0.5825511154555443,0.2060663577576718,0.0,1.0,0.0,6.123233995736766e-17,-0.2842569561974222,0.5305275217915582,0.6161855642504578,-0.4541500907449406,0.5419928262883251,0.5370532282712132,-0.4599622825100163
True,False,,,flair,0.5688489682951996,0.5087249982930846,0.2093507242378776,0.0,1.0,0.0,6.123233995736766e-17,-0.2828308999221897,0.5411756419469899,0.6449540050339144,0.5055791123436004,-0.4943305941632199,-0.4886856133582626,0.5110903991788089
True,False,,,flair,0.3508215500510444,0.5714808553175139,0.2003358557530546,0.0,1.0,0.0,6.123233995736766e-17,-0.2788863114218133,0.5161274884062853,0.6297225240109152,-0.446420730164462,0.5483949614327521,0.5648731670481009,-0.4253114189669111
True,False,,,flair,0.5688966339289833,0.4351311241205118,0.2086317892234988,0.0,1.0,0.0,6.123233995736766e-17,-0.2836723619560994,0.5351413751188515,0.6186621435480713,-0.4751439551527801,0.5236776102532428,0.5207737117882201,-0.4783249141656175
True,False,,,flair,0.4399135671612154,0.4845374442395317,0.2002831967114546,0.0,1.0,0.0,6.123233995736766e-17,-0.2870108134517483,0.528093854823674,0.6129248569572058,-0.4573545052793852,0.5392830113057588,0.5264088900103164,-0.4721169036750836
True,False,,,flair,0.3872849829498692,0.5341248829387261,0.2064718951157425,0.0,1.0,0.0,6.123233995736766e-17,-0.2827493776758886,0.5409595501310305,0.6437544843612494,0.50347254041805,-0.4965160370452718,-0.4889920575264074,0.5107582536562129
True,False,,,flair,0.465103266278565,0.5994419871578422,0.2098083533877623,0.0,1.0,0.0,6.123233995736766e-17,-0.2806454693754291,0.5504156526619198,0.6285001400421149,0.524931139082514,-0.4737634051800209,-0.4812735469637165,0.5180456622024059
True,False,,,flair,0.5556625953442085,0.5300918552535633,0.2068844673057094,0.0,1.0,0.0,6.123233995736766e-17,-0.280140681700307,0.4986716531061932,0.6286515995904604,-0.3896318393164807,0.5901206070960432,0.6091840134639849,-0.3589422469024299
True,False,,,flair,0.3905289515067233,0.5442976680388163,0.2052535432247572,0.0,1.0,0.0,6.123233995736766e-17,-0.2842826935236134,0.5342052901293852,0.6152797419647492,-0.4611912804893427,0.5359831421883261,0.5106273686302423,-0.4891670108421907
False,False,,,flair,0.4430725626676867,0.4971670717663578,0.20889487834349,0.0,1.0,0.0,6.123233995736766e-17,-0.2690216515428321,0.5787780334453568,0.6247590102670499,0.5430669152306155,-0.452976829316255,-0.4239041901736813,0.565858246593342
True,False,,,flair,0.4573385590127211,0.5143059661459521,0.2032186939107594,0.0,1.0,0.0,6.123233995736766e-17,-0.2764908480153172,0.5165954960018626,0.6238015268593549,-0.4216076177842954,0.5676707477100617,0.5606423956017594,-0.4309025911670422
True,False,,,flair,0.5282900090599091,0.4675822451014266,0.2039161900052816,0.0,1.0,0.0,6.123233995736766e-17,-0.2858825017059039,0.5364538542357323,0.6013332688472584,0.4630650941250617,-0.5341069354572745,-0.4946918361821248,0.5055496882742037
True,False,,,flair,0.4181472780600139,0.5246374289372084,0.2008401534358238,0.0,1.0,0.0,6.123233995736766e-17,-0.280149399491777,0.5128438782406115,0.6215695792322473,-0.4027203430448966,0.5812202311075972,0.5740222050750298,-0.4129138848838009
True,False,,,flair,0.5997932442960193,0.5574196614977367,0.2023936944299295,0.0,1.0,0.0,6.123233995736766e-17,-0.282965593561769,0.5146100433375815,0.622588225604066,-0.448544724233598,0.5466565829838876,0.5809566676942619,-0.4030676877450792
True,True,6.784753587717752,,flair,0.3675704104415583,0.4672234121091321,0.2015027946689484,0.0,1.0,0.0,6.123233995736766e-17,-0.2800013067742738,0.5348869337022203,0.6203366376306654,-0.454254675737911,0.5419117689979699,0.5034132647973575,-0.4965474891868871
True,False,,,flair,0.4851018099947861,0.5592648540574588,0.2023064220899375,0.0,1.0,0.0,6.123233995736766e-17,-0.2844767804862422,0.5314546678323068,0.6139253480399305,-0.4649526959326454,0.5327392894737449,0.5214474256660494,-0.477598599518701
False,False,,,flair,0.4713655519464584,0.4397026089018511,0.2009075304561912,0.0,1.0,0.0,6.123233995736766e-17,-0.2699149374355536,0.5724562818444399,0.6273774168521633,0.5340315932656131,-0.4636564539793722,-0.4318543912698431,0.5597631059818241
True,False,,,flair,0.5240997157960552,0.4597392265637845,0.2067199487795636,0.0,1.0,0.0,6.123233995736766e-17,-0.2790266127066731,0.5116525363578297,0.6228815233155873,-0.4069461871330093,0.5782689297560116,0.5763308148178717,-0.4096860231300437
True,False,,,flair,0.6326339331519494,0.4730220336489657,0.2010549527957023,0.0,1.0,0.0,6.123233995736766e-17,-0.2761981296576368,0.5131303195888249,0.6217432522617511,-0.4224353512457806,0.5670532513077093,0.5618788905096669,-0.4292913889176392
True,False,,,flair,0.5387324454619128,0.5854309106135734,0.2044037715471578,0.0,1.0,0.0,6.123233995736766e-17,-0.2732603926438151,0.5267218044701253,0.6243153324070969,-0.386312844829967,0.5924765352828658,0.5334673417228631,-0.4638389120952778
True,False,,,flair,0.4999687441062941,0.4850457249698151,0.2062021345201538,0.0,1.0,0.0,6.123233995736766e-17,-0.2801152438614497,0.5447779352217761,0.6259348775648547,0.4876079791620093,-0.5121636564907144,-0.4800867681388036,0.5190795148006152
True,False,,,flair,0.6485289515705972,0.589788734987553,0.2046004513930909,0.0,1.0,0.0,6.123233995736766e-17,-0.2784625648416398,0.5507316003972327,0.6307803712127957,0.5102113689121053,-0.4895824676605407,-0.4823156627744949,0.5170734646398429
True,False,,,flair,0.4992268086462856,0.5058624320393541,0.207857857007138,0.0,1.0,0.0,6.123233995736766e-17,-0.2720220024477813,0.5375380468025521,0.6081578378010735,0.4630781777175821,-0.5341911986757836,-0.4969810319033776,0.5031979913586175
True,False,,,flair,0.4743967548067012,0.5468967143577459,0.2071114287798975,0.0,1.0,0.0,6.123233995736766e-17,-0.2850607466749702,0.5054850233033428,0.6229398149270489,-0.3759938063388688,0.5988560653459409,0.5999666984647175,-0.374219228964165
True,False,,,flair,0.3844797899842715,0.5458030234152619,0.2092742392862455,0.0,1.0,0.0,6.123233995736766e-17,-0.2745885543577177,0.5150633367101599,0.6244500402916255,-0.4283747905046938,0.5625789343728217,0.5620892492476198,-0.4290170828070219
False,False,,,flair,0.6403778569773939,0.4029412609930738,0.2086364009024557,0.0,1.0,0.0,6.123233995736766e-17,-0.2709427056405749,0.5696764973169486,0.6212199159036157,0.5244005083316812,-0.4746075560257177,-0.4233512296050947,0.5661497249108437
True,False,,,flair,0.6371630538832891,0.4297528024464996,0.2097262881382295,0.0,1.0,0.0,6.123233995736766e-17,-0.2826067267681483,0.5264789175529914,0.612603520609633,-0.4227223027681995,0.5668098094156829,0.5463892678125031,-0.4488777814860347
True,False,,,flair,0.6169806667161561,0.5644747655086141,0.2047998792380783,0.0,1.0,0.0,6.123233995736766e-17,-0.2858825017059039,0.5364538542357323,0.6013332688472584,0.4630650941250617,-0.5341069354572745,-0.4946918361821248,0.5055496882742037
True,False,,,flair,0.5905641736154924,0.5847060319566939,0.2026613027229229,0.0,1.0,0.0,6.123233995736766e-17,-0.2789679905972707,0.540795304561323,0.6325030987759379,0.4797672004300428,-0.5195393438926932,-0.4932958525052332,0.5065190079752228
True,False,,,flair,0.511680322286656,0.4885505657949063,0.2093101731598115,0.0,1.0,0.0,6.123233995736766e-17,-0.2776274875557684,0.520391620220757,0.6125734287364157,-0.408229209206156,0.5773356224916287,0.5562194427494725,-0.4366376338115924
False,False,,,flair,0.5696018586969682,0.5228746493897993,0.2002836536511352,0.0,1.0,0.0,6.123233995736766e-17,-0.2709720985965514,0.5656666263142047,0.6256661658629231,0.5250001591462773,-0.4737889437760512,-0.4477569511524552,0.5471860582531461
True,False,,,flair,0.5657659318480222,0.4031983459047144,0.2075795100235642,0.0,1.0,0.0,6.123233995736766e-17,-0.2836783321264906,0.4974653089448846,0.6227220219682377,-0.366239165729917,0.6048721318004185,0.6185461427288065,-0.3426357351065218
True,False,,,flair,0.6287312662391018,0.4132164993448149,0.2084131727961238,0.0,1.0,0.0,6.123233995736766e-17,-0.2869543749472831,0.5275421025981528,0.6125238968729343,-0.4558864399826194,0.5405156358394804,0.5280478588927097,-0.4702933764915694
True,True,8.47767966382951,1.1658821618906683,new,0.5410885061964363,0.45395734275277405,0.20040973523936195,0.0,0.9681294110164517,0.0,0.25045048118328367,-0.2784899325557505,0.49901149206425965,0.6227232638802499,-0.3878589605195928,0.5912577185835555,0.6111593611501064,-0.3556177333016785
